call119_train.tm,call119_train.address_city,call119_train.address_gu,call119_train.sub_address,call119_train.stn,temp_axis,humid_axis,wind_axis,call119_train.call_count,total_pop,oldery_ratio,gender_ratio
2020-05-01,부산광역시,강서구,대저2동,904,-0.6675332130332863,0.0842420005914119,0.7184750758689226,1,-1.3603527889559628,-0.037194567641592444,0.04321768134208746
2020-05-01,부산광역시,강서구,천성동,921,-0.981361730515477,0.5181933972680013,0.02246920446630225,1,-1.8996119373159712,-0.06645690533839073,-0.007163841202107339
2020-05-01,부산광역시,금정구,금사동,940,-0.4579190290790429,-1.4308737515012881,-0.0345629313258108,1,-1.420081142018403,0.0034756518401656343,0.03447184574825155
2020-05-01,부산광역시,금정구,금성동,941,-0.49245548454707444,-1.4308737515012881,0.9579077911176742,1,-1.8694608577352432,-0.06947053078637414,-0.011315063525169757
2020-05-01,부산광역시,금정구,남산동,939,-0.5731104789139502,-1.4308737515012881,0.211628114322459,3,0.39440825352346204,-0.019371731577403243,-0.007573535834946749
2020-05-01,부산광역시,금정구,부곡동,940,-0.4579190290790429,-1.4308737515012881,-0.0345629313258108,1,2.4832120859864504,0.09892239719295537,-0.06672902272210894
2020-05-01,부산광역시,금정구,장전동,940,-0.4579190290790429,-1.4308737515012881,-0.0345629313258108,1,1.1992170854449316,-0.4223189779514632,-0.07530205557012838
2020-05-01,부산광역시,기장군,기장읍,923,-0.782329490568744,-0.5876638106135609,-0.4141450303059742,1,2.1935802321134097,-0.027944770792427038,-0.13638699566454335
2020-05-01,부산광역시,기장군,일광읍,923,-0.782329490568744,-0.5876638106135609,-0.4141450303059742,2,-0.789107681432575,-0.1352713521678671,-0.00451426096210678
2020-05-01,부산광역시,기장군,장안읍,923,-0.782329490568744,-0.5876638106135609,-0.4141450303059742,1,-1.1904143876271889,0.02275784347693333,0.019184459852072448
2020-05-01,부산광역시,남구,감만동,942,-0.8531928855270079,-0.4860724743219431,0.4271882061427632,1,-0.09733942182173068,0.13376404934638983,0.02646395655936294
2020-05-01,부산광역시,남구,문현동,942,-0.8531928855270079,-0.38448113803032513,0.4271882061427632,3,1.891432113990956,0.1438588533625189,-0.054452315207501926
2020-05-01,부산광역시,남구,용호동,942,-0.8531928855270079,-0.2828898017387083,0.4271882061427632,4,4.418671455108814,-0.16238099175732376,0.010284067756894872
2020-05-01,부산광역시,동구,범일동,942,-0.8531928855270079,-0.18129846544709033,0.4271882061427632,1,0.2561433439416029,0.16733626375965285,-0.00287811663538334
2020-05-01,부산광역시,동구,수정동,159,-0.6641376224639332,-0.0797071291554726,2.577732007274406,1,0.3330067745958024,0.3586019417503577,-0.08267155901914906
2020-05-01,부산광역시,동구,좌천동,942,-0.8531928855270079,-0.0797071291554726,0.4271882061427632,1,-0.9388506632402348,0.0894951743026994,-0.03962751557525807
2020-05-01,부산광역시,동구,초량동,159,-0.6641376224639332,-0.0797071291554726,2.577732007274406,2,0.38200036365631174,0.12139143708776759,-0.05087048643833515
2020-05-01,부산광역시,동래구,명장동,940,-0.4579190290790429,-1.4308737515012881,-0.0345629313258108,3,0.3887217918610773,-0.027353748565916738,0.06408426837221605
2020-05-01,부산광역시,동래구,안락동,940,-0.4579190290790429,-1.4308737515012881,-0.0345629313258108,1,1.307741241931807,-0.1280173473749021,0.053567975093372765
2020-05-01,부산광역시,동래구,온천동,940,-0.4579190290790429,-1.4308737515012881,-0.0345629313258108,2,3.5152074352143066,-0.1868057319093846,0.0373474579404598
2020-05-01,부산광역시,부산진구,가야동,938,-0.641183250426712,-1.2144286440594738,-0.28751230737359906,3,0.9895365715464581,0.035233691211068785,0.04001804745795597
2020-05-01,부산광역시,부산진구,부암동,938,-0.641183250426712,-0.9979835366176593,-0.28751230737359906,1,1.0077570276181522,-0.22980003340943825,-0.007994624813411504
2020-05-01,부산광역시,부산진구,부전동,938,-0.641183250426712,-0.781538429175845,-0.28751230737359906,2,-0.7245141461365641,-0.21290181726391885,0.005727774907509263
2020-05-01,부산광역시,북구,금곡동,941,-0.49245548454707444,-0.565093321734031,0.9579077911176742,1,1.129346493849739,-0.007578391319486051,-0.11810675611477361
2020-05-01,부산광역시,북구,만덕동,941,-0.49245548454707444,-0.3486482142922172,0.9579077911176742,2,2.2935780205154774,-0.39111543984179054,0.10690011760681632
2020-05-01,부산광역시,북구,화명동,941,-0.49245548454707444,-0.1322031068504022,0.9579077911176742,2,3.512229462231717,-1.4746175940964914,-0.0006267472014911643
2020-05-01,부산광역시,사상구,괘법동,904,-0.6675332130332863,0.0842420005914119,0.7184750758689226,1,-0.4595901280557826,-0.25271822561559887,0.09101678648365046
